Peatland,d,k,b,p
Elevated Bog,0.606339193,0.00359387,2.245545319,0.869331655
Bog,1.058351972,0.003308613,2.245545319,0.869331655
Fen,1.269269397,0.001654769,2.245545319,0.869331655
P Fen,0.778091275,0.008271909,2.245545319,0.869331655
